,player_name,pitcher,p_throws,pitch_type,stand,PitchesThrown,%,H,Ball%,SwStr%,AVG,Hard%,GB%,FB%,Brl%,launch_speed,1B,2B,3B,HR,Split,Game,Team,Opp
3,Daniel Lynch IV,663738,L,SI,L,294,0.388,19.0,0.35,0.061,0.224,0.28,0.693,0.16,0.053,79.007,14,1,1,3,L,DET@KC,KC,DET
4,Daniel Lynch IV,663738,L,SL,L,354,0.467,14.0,0.387,0.186,0.167,0.397,0.466,0.224,0.052,87.419,13,1,0,0,L,DET@KC,KC,DET
0,Framber Valdez,664285,L,CH,R,907,0.222,56.0,0.376,0.136,0.249,0.432,0.579,0.202,0.077,89.898,34,13,1,8,R,DET@KC,DET,KC
1,Framber Valdez,664285,L,CU,R,1335,0.327,56.0,0.409,0.174,0.186,0.383,0.515,0.198,0.048,87.06,37,14,1,4,R,DET@KC,DET,KC
2,Framber Valdez,664285,L,FF,R,88,0.022,5.0,0.352,0.102,0.179,0.25,0.5,0.2,0.1,82.51,4,0,0,1,R,DET@KC,DET,KC
3,Framber Valdez,664285,L,SI,R,1687,0.413,124.0,0.315,0.043,0.289,0.544,0.561,0.158,0.068,92.358,97,17,2,8,R,DET@KC,DET,KC
4,Framber Valdez,664285,L,SL,R,66,0.016,1.0,0.424,0.121,0.071,0.2,0.6,0.3,0.1,84.32,0,0,1,0,R,DET@KC,DET,KC
0,Framber Valdez,664285,L,CH,L,48,0.047,3.0,0.375,0.146,0.214,0.571,0.571,0.143,0.286,89.271,1,1,0,1,L,DET@KC,DET,KC
1,Framber Valdez,664285,L,CU,L,262,0.256,15.0,0.431,0.195,0.227,0.324,0.588,0.294,0.059,84.591,7,5,0,3,L,DET@KC,DET,KC
2,Framber Valdez,664285,L,FF,L,15,0.015,0.0,0.333,0.067,0.0,1.0,0.667,0.333,0.0,100.467,0,0,0,0,L,DET@KC,DET,KC
3,Framber Valdez,664285,L,SI,L,571,0.557,43.0,0.273,0.077,0.316,0.388,0.659,0.147,0.054,87.358,35,4,1,3,L,DET@KC,DET,KC
4,Framber Valdez,664285,L,SL,L,129,0.126,7.0,0.426,0.217,0.171,0.227,0.636,0.182,0.0,82.459,6,1,0,0,L,DET@KC,DET,KC
0,Cristian Javier,664299,R,CH,R,38,0.058,4.0,0.368,0.211,0.308,0.333,0.222,0.444,0.333,87.811,2,0,1,1,R,ATH@HOU,HOU,ATH
1,Cristian Javier,664299,R,CU,R,24,0.036,2.0,0.625,0.042,0.667,0.0,0.0,0.5,0.0,74.5,2,0,0,0,R,ATH@HOU,HOU,ATH
2,Cristian Javier,664299,R,FC,R,21,0.032,2.0,0.19,0.048,0.333,0.429,0.286,0.143,0.0,89.457,2,0,0,0,R,ATH@HOU,HOU,ATH
3,Cristian Javier,664299,R,FF,R,335,0.509,16.0,0.34,0.152,0.254,0.44,0.22,0.4,0.08,91.442,11,3,0,2,R,ATH@HOU,HOU,ATH
4,Cristian Javier,664299,R,SI,R,63,0.096,4.0,0.365,0.063,0.308,0.5,0.357,0.357,0.143,92.493,2,2,0,0,R,ATH@HOU,HOU,ATH
5,Cristian Javier,664299,R,ST,R,177,0.269,11.0,0.452,0.113,0.234,0.344,0.188,0.344,0.0,86.244,7,0,0,4,R,ATH@HOU,HOU,ATH
0,Cristian Javier,664299,R,CH,L,181,0.296,12.0,0.287,0.188,0.226,0.268,0.341,0.341,0.049,87.268,10,1,1,0,L,ATH@HOU,HOU,ATH
1,Cristian Javier,664299,R,CU,L,63,0.103,2.0,0.492,0.032,0.25,0.5,0.375,0.5,0.25,91.412,1,0,0,1,L,ATH@HOU,HOU,ATH
2,Cristian Javier,664299,R,FC,L,6,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,89.4,0,0,0,0,L,ATH@HOU,HOU,ATH
3,Cristian Javier,664299,R,FF,L,247,0.404,19.0,0.381,0.081,0.352,0.455,0.318,0.295,0.068,89.525,13,4,0,2,L,ATH@HOU,HOU,ATH
4,Cristian Javier,664299,R,SI,L,10,0.016,1.0,0.4,0.1,0.333,0.333,0.667,0.333,0.0,95.533,0,1,0,0,L,ATH@HOU,HOU,ATH
5,Cristian Javier,664299,R,ST,L,105,0.172,3.0,0.371,0.114,0.143,0.308,0.308,0.538,0.077,91.315,1,2,0,0,L,ATH@HOU,HOU,ATH
0,Jack Perkins,678022,R,CH,R,63,0.068,0.0,0.349,0.302,0.0,0.375,0.5,0.125,0.0,83.325,0,0,0,0,R,ATH@HOU,ATH,HOU
1,Jack Perkins,678022,R,FC,R,115,0.123,8.0,0.304,0.13,0.333,0.24,0.44,0.28,0.16,86.928,4,2,0,2,R,ATH@HOU,ATH,HOU
2,Jack Perkins,678022,R,FF,R,366,0.393,19.0,0.372,0.098,0.241,0.359,0.172,0.422,0.109,90.689,11,5,1,2,R,ATH@HOU,ATH,HOU
3,Jack Perkins,678022,R,SI,R,41,0.044,7.0,0.366,0.098,0.5,0.429,0.714,0.143,0.143,87.143,4,1,0,2,R,ATH@HOU,ATH,HOU
4,Jack Perkins,678022,R,SL,R,25,0.027,1.0,0.52,0.12,0.25,0.5,0.5,0.25,0.0,85.375,0,1,0,0,R,ATH@HOU,ATH,HOU
5,Jack Perkins,678022,R,ST,R,322,0.345,21.0,0.307,0.208,0.236,0.27,0.302,0.349,0.032,82.824,18,0,1,2,R,ATH@HOU,ATH,HOU
0,Jack Perkins,678022,R,CH,L,282,0.241,16.0,0.45,0.199,0.271,0.474,0.632,0.132,0.0,89.124,13,3,0,0,L,ATH@HOU,ATH,HOU
1,Jack Perkins,678022,R,CU,L,5,0.004,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,L,ATH@HOU,ATH,HOU
2,Jack Perkins,678022,R,FC,L,153,0.131,11.0,0.34,0.065,0.314,0.281,0.562,0.219,0.0,82.806,10,1,0,0,L,ATH@HOU,ATH,HOU
3,Jack Perkins,678022,R,FF,L,392,0.334,28.0,0.372,0.077,0.346,0.453,0.297,0.453,0.172,88.519,13,7,0,8,L,ATH@HOU,ATH,HOU
4,Jack Perkins,678022,R,SI,L,12,0.01,1.0,0.417,0.0,0.5,0.5,0.0,0.5,0.5,95.15,0,0,0,1,L,ATH@HOU,ATH,HOU
5,Jack Perkins,678022,R,SL,L,19,0.016,0.0,0.316,0.158,0.0,0.0,0.667,0.0,0.0,81.833,0,0,0,0,L,ATH@HOU,ATH,HOU
6,Jack Perkins,678022,R,ST,L,309,0.264,7.0,0.333,0.152,0.113,0.406,0.312,0.406,0.094,85.269,2,3,0,2,L,ATH@HOU,ATH,HOU
0,Erick Fedde,607200,R,CH,R,33,0.017,3.0,0.545,0.061,0.375,0.286,0.286,0.429,0.0,81.4,2,0,0,1,R,NYM@CWS,CWS,NYM
1,Erick Fedde,607200,R,FC,R,377,0.194,24.0,0.308,0.088,0.245,0.382,0.393,0.348,0.09,87.503,14,5,0,5,R,NYM@CWS,CWS,NYM
2,Erick Fedde,607200,R,FF,R,16,0.008,0.0,0.875,0.0,0.0,1.0,0.0,1.0,0.0,99.5,0,0,0,0,R,NYM@CWS,CWS,NYM
3,Erick Fedde,607200,R,SI,R,766,0.394,54.0,0.363,0.048,0.302,0.521,0.431,0.236,0.076,92.567,38,10,0,6,R,NYM@CWS,CWS,NYM
4,Erick Fedde,607200,R,ST,R,752,0.387,37.0,0.378,0.132,0.195,0.274,0.376,0.325,0.076,83.295,20,8,0,9,R,NYM@CWS,CWS,NYM
0,Erick Fedde,607200,R,CH,L,482,0.203,25.0,0.55,0.071,0.248,0.442,0.57,0.174,0.047,89.112,20,3,1,1,L,NYM@CWS,CWS,NYM
1,Erick Fedde,607200,R,FC,L,661,0.278,53.0,0.407,0.095,0.353,0.43,0.266,0.375,0.094,88.398,28,13,1,11,L,NYM@CWS,CWS,NYM
2,Erick Fedde,607200,R,FF,L,15,0.006,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,87.8,0,0,0,0,L,NYM@CWS,CWS,NYM
3,Erick Fedde,607200,R,SI,L,637,0.268,42.0,0.367,0.042,0.292,0.447,0.508,0.152,0.053,89.962,32,5,0,5,L,NYM@CWS,CWS,NYM
4,Erick Fedde,607200,R,ST,L,582,0.245,27.0,0.361,0.077,0.223,0.415,0.33,0.34,0.117,89.017,18,5,1,3,L,NYM@CWS,CWS,NYM
0,Nolan McLean,690997,R,CH,R,32,0.025,2.0,0.438,0.188,0.167,0.286,0.571,0.286,0.143,84.6,1,0,0,1,R,NYM@CWS,NYM,CWS
1,Nolan McLean,690997,R,CS,R,1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,R,NYM@CWS,NYM,CWS
2,Nolan McLean,690997,R,CU,R,139,0.108,5.0,0.475,0.18,0.161,0.308,0.462,0.154,0.077,89.746,4,1,0,0,R,NYM@CWS,NYM,CWS
3,Nolan McLean,690997,R,FC,R,95,0.074,5.0,0.253,0.158,0.263,0.429,0.286,0.357,0.214,90.321,1,3,0,1,R,NYM@CWS,NYM,CWS
4,Nolan McLean,690997,R,FF,R,220,0.171,4.0,0.373,0.114,0.121,0.36,0.36,0.36,0.12,87.82,3,0,0,1,R,NYM@CWS,NYM,CWS
5,Nolan McLean,690997,R,SI,R,506,0.393,21.0,0.318,0.069,0.162,0.316,0.716,0.095,0.053,82.899,13,5,0,3,R,NYM@CWS,NYM,CWS
6,Nolan McLean,690997,R,SL,R,26,0.02,0.0,0.192,0.269,0.0,0.0,0.333,0.667,0.0,79.567,0,0,0,0,R,NYM@CWS,NYM,CWS
7,Nolan McLean,690997,R,ST,R,269,0.209,17.0,0.413,0.086,0.327,0.3,0.45,0.225,0.05,86.12,15,0,0,2,R,NYM@CWS,NYM,CWS
0,Nolan McLean,690997,R,CH,L,175,0.097,12.0,0.4,0.131,0.24,0.282,0.513,0.282,0.077,83.897,8,3,0,1,L,NYM@CWS,NYM,CWS
1,Nolan McLean,690997,R,CS,L,3,0.002,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,L,NYM@CWS,NYM,CWS
2,Nolan McLean,690997,R,CU,L,323,0.178,7.0,0.449,0.198,0.083,0.241,0.655,0.103,0.034,82.034,5,2,0,0,L,NYM@CWS,NYM,CWS
3,Nolan McLean,690997,R,FC,L,213,0.118,15.0,0.338,0.122,0.395,0.5,0.444,0.278,0.028,91.175,10,4,0,1,L,NYM@CWS,NYM,CWS
4,Nolan McLean,690997,R,FF,L,358,0.198,17.0,0.358,0.134,0.25,0.529,0.235,0.333,0.157,92.998,10,1,0,6,L,NYM@CWS,NYM,CWS
