,Player,HID,p_throws,batter,pitch_type,AB,H,AVG,SwStr%,wOBA,OPS,ISO,EV,Air Hard%,BIP,Brl%,Hard%,GB%,LD%,FB%,K%,BB%,1B,2B,3B,HR,Game,Team,Opp,Spot
48,Seiya Suzuki,673548,R,673548,SL,275.0,71.0,0.258,0.136,0.33529096989966556,0.787,0.21499999999999997,87.96358974358975,0.454,195,0.077,0.374,0.282,0.272,0.338,0.277,0.076,35,23,3,10,CHC@BAL,CHC,BAL,4
51,Ian Happ,664023,R,664023,CH,257.0,62.0,0.241,0.142,0.2694347826086957,0.615,0.08200000000000002,84.93617021276596,0.424,188,0.069,0.309,0.505,0.245,0.207,0.253,0.065,47,11,2,2,CHC@BAL,CHC,BAL,5
53,Ian Happ,664023,R,664023,CU,133.0,35.0,0.263,0.141,0.3623892617449664,0.853,0.248,90.57111111111111,0.596,90,0.144,0.478,0.333,0.322,0.311,0.289,0.087,16,12,0,7,CHC@BAL,CHC,BAL,5
55,Ian Happ,664023,R,664023,FC,124.0,43.0,0.347,0.107,0.47552348993288585,1.141,0.347,93.92626262626263,0.596,99,0.162,0.556,0.384,0.283,0.293,0.184,0.158,21,11,1,10,CHC@BAL,CHC,BAL,5
56,Ian Happ,664023,R,664023,FF,481.0,106.0,0.22,0.094,0.3417237288135593,0.769,0.18699999999999997,92.61457725947521,0.602,343,0.111,0.496,0.294,0.248,0.353,0.239,0.178,55,31,1,19,CHC@BAL,CHC,BAL,5
61,Ian Happ,664023,R,664023,SI,129.0,48.0,0.372,0.046,0.5198285714285714,1.26,0.357,94.25686274509805,0.754,102,0.196,0.598,0.363,0.275,0.324,0.164,0.254,26,10,0,12,CHC@BAL,CHC,BAL,5
62,Ian Happ,664023,R,664023,SL,192.0,33.0,0.172,0.173,0.2766095238095238,0.649,0.23400000000000004,89.47461538461539,0.452,130,0.123,0.354,0.338,0.185,0.377,0.295,0.076,13,6,3,11,CHC@BAL,CHC,BAL,5
65,Nico Hoerner,663538,R,663538,CH,90.0,19.0,0.211,0.092,0.26764516129032256,0.634,0.18900000000000003,83.12435897435897,0.242,78,0.038,0.218,0.526,0.218,0.205,0.138,0.032,9,6,1,3,CHC@BAL,CHC,BAL,6
67,Nico Hoerner,663538,R,663538,CU,98.0,24.0,0.245,0.073,0.2762264150943396,0.626,0.08200000000000002,82.76582278481013,0.154,79,0.025,0.152,0.456,0.304,0.19,0.187,0.056,18,5,0,1,CHC@BAL,CHC,BAL,6
69,Nico Hoerner,663538,R,663538,FC,119.0,34.0,0.286,0.058,0.3100610687022901,0.701,0.067,85.79449541284404,0.216,109,0.009,0.257,0.431,0.229,0.239,0.083,0.076,28,5,0,1,CHC@BAL,CHC,BAL,6
70,Nico Hoerner,663538,R,663538,FF,449.0,116.0,0.258,0.033,0.3268229755178908,0.723,0.09599999999999997,88.09614457831326,0.391,415,0.012,0.383,0.398,0.28,0.251,0.073,0.125,87,22,0,7,CHC@BAL,CHC,BAL,6
73,Nico Hoerner,663538,R,663538,SI,391.0,107.0,0.274,0.017,0.3056965517241379,0.686,0.069,86.9560975609756,0.376,369,0.014,0.363,0.575,0.241,0.141,0.061,0.077,83,22,1,1,CHC@BAL,CHC,BAL,6
74,Nico Hoerner,663538,R,663538,SL,292.0,74.0,0.253,0.102,0.2711934426229508,0.63,0.09299999999999997,82.7386454183267,0.261,251,0.012,0.207,0.47,0.251,0.191,0.137,0.039,56,12,3,3,CHC@BAL,CHC,BAL,6
77,Michael Conforto,624424,R,624424,CH,195.0,36.0,0.185,0.16,0.2252644230769231,0.51,0.09200000000000003,85.49060402684565,0.524,149,0.06,0.336,0.53,0.221,0.201,0.229,0.062,24,9,0,3,CHC@BAL,CHC,BAL,7
78,Michael Conforto,624424,R,624424,CU,87.0,16.0,0.184,0.132,0.2552323232323232,0.556,0.09200000000000003,91.17173913043477,0.68,46,0.174,0.543,0.435,0.152,0.391,0.42,0.08,12,2,0,2,CHC@BAL,CHC,BAL,7
80,Michael Conforto,624424,R,624424,FC,94.0,27.0,0.287,0.084,0.38038235294117645,0.904,0.27699999999999997,90.51410256410257,0.532,78,0.154,0.449,0.269,0.244,0.359,0.165,0.058,15,5,0,7,CHC@BAL,CHC,BAL,7
81,Michael Conforto,624424,R,624424,FF,403.0,91.0,0.226,0.097,0.32831302521008404,0.746,0.17600000000000002,91.28109965635738,0.5,291,0.1,0.454,0.371,0.21,0.361,0.237,0.145,52,22,2,15,CHC@BAL,CHC,BAL,7
85,Michael Conforto,624424,R,624424,SI,135.0,43.0,0.319,0.068,0.39754193548387096,0.927,0.20700000000000002,92.85046728971963,0.706,107,0.121,0.542,0.495,0.271,0.206,0.191,0.121,27,10,0,6,CHC@BAL,CHC,BAL,7
86,Michael Conforto,624424,R,624424,SL,115.0,25.0,0.217,0.106,0.35351851851851845,0.827,0.279,89.82823529411765,0.51,85,0.094,0.412,0.294,0.2,0.4,0.228,0.132,10,6,1,8,CHC@BAL,CHC,BAL,7
89,Miguel Amaya,665804,R,665804,CH,18.0,3.0,0.167,0.168,0.2625454545454545,0.526,0.05499999999999999,86.99090909090908,0.429,11,0.0,0.273,0.364,0.273,0.364,0.348,0.13,2,1,0,0,CHC@BAL,CHC,BAL,8
90,Miguel Amaya,665804,R,665804,CU,26.0,6.0,0.231,0.106,0.30460714285714285,0.709,0.19199999999999998,85.5764705882353,0.286,17,0.0,0.294,0.588,0.176,0.235,0.321,0.0,3,2,0,1,CHC@BAL,CHC,BAL,8
92,Miguel Amaya,665804,R,665804,FC,31.0,6.0,0.194,0.113,0.2589117647058824,0.588,0.129,82.05555555555556,0.417,27,0.037,0.259,0.407,0.259,0.185,0.118,0.059,4,1,0,1,CHC@BAL,CHC,BAL,8
93,Miguel Amaya,665804,R,665804,FF,137.0,41.0,0.299,0.085,0.37656209150326797,0.874,0.21200000000000002,89.39224137931035,0.538,116,0.103,0.431,0.345,0.233,0.328,0.153,0.07,26,8,0,7,CHC@BAL,CHC,BAL,8
97,Miguel Amaya,665804,R,665804,SI,97.0,31.0,0.32,0.083,0.40449999999999997,0.932,0.185,87.43372093023255,0.528,86,0.081,0.453,0.558,0.244,0.174,0.103,0.111,21,6,0,4,CHC@BAL,CHC,BAL,8
98,Miguel Amaya,665804,R,665804,SL,110.0,19.0,0.173,0.177,0.2242136752136752,0.509,0.118,83.88076923076923,0.368,78,0.051,0.282,0.385,0.179,0.308,0.286,0.042,12,4,0,3,CHC@BAL,CHC,BAL,8
101,Dansby Swanson,621020,R,621020,CH,113.0,16.0,0.142,0.225,0.20565546218487393,0.475,0.15,87.20701754385965,0.542,57,0.123,0.386,0.526,0.123,0.298,0.475,0.042,9,2,0,5,CHC@BAL,CHC,BAL,9
103,Dansby Swanson,621020,R,621020,CU,88.0,16.0,0.182,0.126,0.2287912087912088,0.539,0.14800000000000002,87.81186440677965,0.5,59,0.051,0.39,0.593,0.22,0.153,0.319,0.033,9,4,0,3,CHC@BAL,CHC,BAL,9
105,Dansby Swanson,621020,R,621020,FC,127.0,43.0,0.339,0.162,0.4003623188405797,0.95,0.22000000000000003,87.66504854368932,0.529,103,0.107,0.359,0.447,0.272,0.223,0.174,0.08,28,8,1,6,CHC@BAL,CHC,BAL,9
106,Dansby Swanson,621020,R,621020,FF,424.0,106.0,0.25,0.14,0.33901046025104603,0.786,0.20500000000000002,93.84984126984128,0.699,315,0.146,0.562,0.302,0.273,0.34,0.236,0.104,61,23,2,20,CHC@BAL,CHC,BAL,9
109,Dansby Swanson,621020,R,621020,SI,306.0,80.0,0.261,0.086,0.3275977011494253,0.749,0.138,90.43188976377954,0.579,254,0.079,0.441,0.539,0.224,0.197,0.152,0.112,59,10,1,10,CHC@BAL,CHC,BAL,9
110,Dansby Swanson,621020,R,621020,SL,283.0,56.0,0.198,0.157,0.26528526645768025,0.591,0.10599999999999998,84.47512437810946,0.512,201,0.075,0.343,0.522,0.149,0.269,0.259,0.109,37,13,1,5,CHC@BAL,CHC,BAL,9
0,Gunnar Henderson,683002,L,683002,CH,35.0,7.0,0.2,0.193,0.3124324324324324,0.757,0.314,89.89047619047619,0.364,21,0.0,0.381,0.333,0.238,0.286,0.378,0.027,2,1,2,2,CHC@BAL,BAL,CHC,1
1,Gunnar Henderson,683002,L,683002,CU,61.0,13.0,0.213,0.159,0.3138769230769231,0.754,0.279,86.92093023255813,0.316,43,0.093,0.279,0.442,0.14,0.302,0.277,0.046,6,1,2,4,CHC@BAL,BAL,CHC,1
3,Gunnar Henderson,683002,L,683002,FF,139.0,30.0,0.216,0.11,0.2937423312883436,0.648,0.101,90.52222222222223,0.514,90,0.056,0.456,0.489,0.211,0.178,0.301,0.135,22,5,0,3,CHC@BAL,BAL,CHC,1
5,Gunnar Henderson,683002,L,683002,SI,161.0,39.0,0.242,0.046,0.3046329787234043,0.67,0.08100000000000002,84.88028169014085,0.442,142,0.028,0.373,0.662,0.183,0.12,0.111,0.116,30,6,2,1,CHC@BAL,BAL,CHC,1
6,Gunnar Henderson,683002,L,683002,SL,129.0,25.0,0.194,0.141,0.2611258741258741,0.585,0.124,85.01458333333333,0.435,96,0.062,0.302,0.396,0.281,0.198,0.247,0.096,17,4,0,4,CHC@BAL,BAL,CHC,1
9,Adley Rutschman,668939,L,668939,CH,94.0,24.0,0.255,0.083,0.2794423076923077,0.625,0.04299999999999998,85.88624999999999,0.341,80,0.038,0.288,0.438,0.338,0.212,0.135,0.096,20,4,0,0,CHC@BAL,BAL,CHC,2
10,Adley Rutschman,668939,L,668939,CU,28.0,10.0,0.357,0.055,0.4313548387096774,1.026,0.25,84.83500000000001,0.444,20,0.05,0.3,0.55,0.25,0.2,0.258,0.097,5,4,0,1,CHC@BAL,BAL,CHC,2
12,Adley Rutschman,668939,L,668939,FF,178.0,57.0,0.32,0.039,0.40720574162679424,0.951,0.21400000000000002,90.49444444444444,0.44,162,0.093,0.444,0.321,0.296,0.321,0.085,0.142,39,8,0,10,CHC@BAL,BAL,CHC,2
14,Adley Rutschman,668939,L,668939,SI,69.0,18.0,0.261,0.016,0.3415,0.778,0.15899999999999997,89.42835820895522,0.364,67,0.104,0.373,0.463,0.209,0.284,0.037,0.136,13,2,0,3,CHC@BAL,BAL,CHC,2
15,Adley Rutschman,668939,L,668939,SL,60.0,15.0,0.25,0.112,0.3222985074626865,0.741,0.16699999999999998,84.49767441860466,0.333,43,0.047,0.279,0.442,0.233,0.256,0.265,0.103,9,4,0,2,CHC@BAL,BAL,CHC,2
18,Taylor Ward,621493,L,621493,CH,71.0,27.0,0.38,0.054,0.44320000000000004,1.061,0.268,90.22622950819672,0.529,61,0.098,0.459,0.426,0.295,0.262,0.133,0.053,18,4,0,5,CHC@BAL,BAL,CHC,3
20,Taylor Ward,621493,L,621493,CU,34.0,5.0,0.147,0.143,0.25594594594594594,0.587,0.23500000000000001,85.73636363636363,0.364,22,0.136,0.227,0.5,0.136,0.364,0.359,0.077,1,2,0,2,CHC@BAL,BAL,CHC,3
22,Taylor Ward,621493,L,621493,FF,132.0,37.0,0.28,0.064,0.36961333333333335,0.857,0.21999999999999997,93.0392523364486,0.562,107,0.215,0.523,0.196,0.346,0.402,0.188,0.11,19,12,1,5,CHC@BAL,BAL,CHC,3
24,Taylor Ward,621493,L,621493,SI,55.0,20.0,0.364,0.044,0.4276438356164384,0.957,0.07200000000000001,89.04,0.524,45,0.044,0.444,0.511,0.333,0.133,0.137,0.247,16,4,0,0,CHC@BAL,BAL,CHC,3
25,Taylor Ward,621493,L,621493,SL,55.0,11.0,0.2,0.133,0.3064126984126984,0.702,0.2,90.44285714285714,0.667,35,0.086,0.457,0.429,0.229,0.286,0.317,0.095,6,2,0,3,CHC@BAL,BAL,CHC,3
28,Pete Alonso,624413,L,624413,CH,121.0,26.0,0.215,0.175,0.281859375,0.661,0.19000000000000003,88.75591397849462,0.651,93,0.129,0.441,0.527,0.215,0.247,0.225,0.047,13,8,0,5,CHC@BAL,BAL,CHC,4
29,Pete Alonso,624413,L,624413,CU,47.0,9.0,0.191,0.11,0.27821428571428564,0.598,0.08600000000000002,90.03448275862068,0.714,29,0.103,0.483,0.448,0.31,0.172,0.321,0.125,7,1,0,1,CHC@BAL,BAL,CHC,4
31,Pete Alonso,624413,L,624413,FF,188.0,44.0,0.234,0.097,0.3644103773584905,0.866,0.31400000000000006,92.21901408450705,0.57,142,0.169,0.465,0.211,0.211,0.444,0.224,0.103,19,8,0,17,CHC@BAL,BAL,CHC,4
33,Pete Alonso,624413,L,624413,SI,79.0,23.0,0.291,0.065,0.3476590909090909,0.807,0.15200000000000002,95.64032258064516,0.692,62,0.161,0.548,0.5,0.226,0.194,0.193,0.102,17,3,0,3,CHC@BAL,BAL,CHC,4
34,Pete Alonso,624413,L,624413,SL,74.0,14.0,0.189,0.14,0.3364,0.765,0.243,88.4304347826087,0.48,46,0.196,0.326,0.348,0.261,0.283,0.311,0.111,6,3,0,5,CHC@BAL,BAL,CHC,4
37,Coby Mayo,691723,L,691723,CH,39.0,9.0,0.231,0.236,0.36074418604651165,0.866,0.33299999999999996,92.64166666666667,0.545,24,0.208,0.458,0.375,0.167,0.292,0.349,0.093,4,1,0,4,CHC@BAL,BAL,CHC,5
38,Coby Mayo,691723,L,691723,CU,11.0,5.0,0.455,0.115,0.588,1.447,0.454,90.8125,0.667,8,0.25,0.5,0.25,0.375,0.375,0.231,0.077,2,2,0,1,CHC@BAL,BAL,CHC,5
40,Coby Mayo,691723,L,691723,FF,53.0,8.0,0.151,0.067,0.2608688524590164,0.583,0.17,91.07179487179488,0.5,39,0.077,0.385,0.385,0.154,0.308,0.23,0.131,3,3,0,2,CHC@BAL,BAL,CHC,5
42,Coby Mayo,691723,L,691723,SI,28.0,13.0,0.464,0.132,0.5261290322580645,1.266,0.286,96.45,0.667,22,0.182,0.636,0.545,0.182,0.227,0.194,0.097,9,2,0,2,CHC@BAL,BAL,CHC,5
43,Coby Mayo,691723,L,691723,SL,17.0,4.0,0.235,0.222,0.2931111111111111,0.69,0.177,86.28999999999999,0.429,10,0.1,0.3,0.2,0.2,0.5,0.389,0.056,3,0,0,1,CHC@BAL,BAL,CHC,5
46,Tyler O'Neill,641933,L,641933,CH,61.0,14.0,0.23,0.179,0.28684848484848485,0.665,0.147,83.11707317073171,0.389,41,0.098,0.268,0.561,0.146,0.293,0.303,0.076,11,0,0,3,CHC@BAL,BAL,CHC,6
47,Tyler O'Neill,641933,L,641933,CU,24.0,3.0,0.125,0.147,0.25653846153846155,0.609,0.292,86.125,0.5,12,0.25,0.333,0.25,0.167,0.5,0.462,0.077,0,1,0,2,CHC@BAL,BAL,CHC,6
49,Tyler O'Neill,641933,L,641933,FF,98.0,23.0,0.235,0.103,0.39745454545454545,0.938,0.32600000000000007,96.68076923076923,0.636,78,0.205,0.615,0.192,0.167,0.538,0.172,0.189,9,5,0,9,CHC@BAL,BAL,CHC,6
51,Tyler O'Neill,641933,L,641933,SI,48.0,15.0,0.312,0.054,0.47508620689655173,1.16,0.417,92.06842105263158,0.722,38,0.237,0.474,0.474,0.211,0.263,0.172,0.172,5,5,0,5,CHC@BAL,BAL,CHC,6
52,Tyler O'Neill,641933,L,641933,SL,38.0,8.0,0.211,0.184,0.3038571428571429,0.707,0.21,93.5,0.615,17,0.235,0.588,0.235,0.294,0.471,0.5,0.071,4,2,0,2,CHC@BAL,BAL,CHC,6
55,Leody Taveras,665750,L,665750,CH,55.0,12.0,0.218,0.178,0.24218333333333333,0.534,0.037000000000000005,78.49318181818181,0.167,44,0.0,0.159,0.409,0.318,0.091,0.197,0.082,10,2,0,0,CHC@BAL,BAL,CHC,7
56,Leody Taveras,665750,L,665750,CU,33.0,4.0,0.121,0.137,0.1326470588235294,0.295,0.031,80.85000000000001,0.444,22,0.0,0.318,0.591,0.273,0.136,0.343,0.029,3,1,0,0,CHC@BAL,BAL,CHC,7
58,Leody Taveras,665750,L,665750,FF,118.0,23.0,0.195,0.107,0.24012977099236643,0.527,0.059,89.71882352941176,0.378,85,0.059,0.447,0.471,0.212,0.224,0.258,0.098,18,4,0,1,CHC@BAL,BAL,CHC,7
60,Leody Taveras,665750,L,665750,SI,35.0,9.0,0.257,0.038,0.32690697674418606,0.7,0.056999999999999995,84.23636363636365,0.333,33,0.0,0.303,0.545,0.242,0.212,0.068,0.182,7,2,0,0,CHC@BAL,BAL,CHC,7
61,Leody Taveras,665750,L,665750,SL,38.0,15.0,0.395,0.138,0.4677804878048781,1.093,0.28900000000000003,86.5,0.545,29,0.103,0.414,0.552,0.207,0.172,0.273,0.068,10,2,0,3,CHC@BAL,BAL,CHC,7
63,Jackson Holliday,702616,L,702616,CH,10.0,1.0,0.1,0.146,0.1768181818181818,0.382,0.1,85.22,0.0,5,0.0,0.0,0.2,0.6,0.0,0.455,0.091,0,1,0,0,CHC@BAL,BAL,CHC,8
64,Jackson Holliday,702616,L,702616,CU,13.0,2.0,0.154,0.145,0.13153846153846155,0.308,0.0,79.37777777777778,0.333,9,0.0,0.111,0.667,0.222,0.111,0.308,0.0,2,0,0,0,CHC@BAL,BAL,CHC,8
66,Jackson Holliday,702616,L,702616,FF,45.0,8.0,0.178,0.097,0.28635849056603774,0.635,0.15500000000000003,93.13611111111112,0.667,36,0.083,0.528,0.361,0.278,0.306,0.17,0.132,3,4,0,1,CHC@BAL,BAL,CHC,8
68,Jackson Holliday,702616,L,702616,SI,59.0,15.0,0.254,0.084,0.32757142857142857,0.727,0.10199999999999998,86.74666666666667,0.643,45,0.044,0.444,0.667,0.156,0.156,0.2,0.1,13,0,0,2,CHC@BAL,BAL,CHC,8
69,Jackson Holliday,702616,L,702616,SL,48.0,10.0,0.208,0.195,0.2777307692307692,0.644,0.167,83.4241379310345,0.308,29,0.069,0.207,0.517,0.207,0.241,0.365,0.077,6,2,0,2,CHC@BAL,BAL,CHC,8
72,Blaze Alexander,677942,L,677942,CH,41.0,14.0,0.341,0.134,0.3296666666666666,0.772,0.07399999999999995,79.07352941176471,0.133,34,0.059,0.147,0.529,0.147,0.294,0.167,0.024,11,3,0,0,CHC@BAL,BAL,CHC,9
74,Blaze Alexander,677942,L,677942,CU,13.0,6.0,0.462,0.08,0.46313333333333334,1.038,0.07600000000000001,83.31818181818181,0.5,11,0.091,0.364,0.636,0.182,0.182,0.188,0.062,5,1,0,0,CHC@BAL,BAL,CHC,9
76,Blaze Alexander,677942,L,677942,FF,60.0,18.0,0.3,0.15,0.4231690140845071,0.997,0.3,90.95238095238095,0.586,42,0.167,0.524,0.262,0.357,0.333,0.274,0.123,9,4,1,4,CHC@BAL,BAL,CHC,9
78,Blaze Alexander,677942,L,677942,SI,25.0,5.0,0.2,0.098,0.2683793103448276,0.59,0.08000000000000002,91.05555555555556,0.75,18,0.0,0.5,0.556,0.278,0.167,0.241,0.138,4,0,1,0,CHC@BAL,BAL,CHC,9
79,Blaze Alexander,677942,L,677942,SL,35.0,4.0,0.114,0.161,0.14502631578947367,0.298,0.0,93.56842105263158,0.636,19,0.105,0.526,0.421,0.263,0.316,0.421,0.079,4,0,0,0,CHC@BAL,BAL,CHC,9
0,Shea Langeliers,669127,L,669127,CH,118.0,31.0,0.263,0.187,0.29743442622950816,0.702,0.15199999999999997,86.9247311827957,0.367,93,0.065,0.323,0.43,0.269,0.258,0.205,0.033,21,6,0,4,ATH@DET,ATH,DET,1
1,Shea Langeliers,669127,L,669127,CU,36.0,12.0,0.333,0.119,0.3785526315789473,0.896,0.195,93.4,0.8,25,0.08,0.56,0.56,0.4,0.0,0.289,0.053,7,4,0,1,ATH@DET,ATH,DET,1
3,Shea Langeliers,669127,L,669127,FF,167.0,32.0,0.192,0.143,0.2926939890710383,0.684,0.23299999999999998,92.18899082568808,0.506,109,0.174,0.45,0.211,0.239,0.468,0.324,0.081,18,1,1,12,ATH@DET,ATH,DET,1
5,Shea Langeliers,669127,L,669127,SI,65.0,23.0,0.354,0.076,0.44062857142857137,1.062,0.30800000000000005,95.54444444444444,0.593,54,0.093,0.63,0.5,0.259,0.241,0.157,0.071,14,3,1,5,ATH@DET,ATH,DET,1
6,Shea Langeliers,669127,L,669127,SL,46.0,14.0,0.304,0.12,0.39137500000000003,0.936,0.305,90.0891891891892,0.6,37,0.162,0.459,0.541,0.189,0.216,0.204,0.041,8,2,0,4,ATH@DET,ATH,DET,1
9,Nick Kurtz,701762,L,701762,CH,18.0,0.0,0.0,0.219,0.0,0.0,0.0,80.89999999999999,0.0,6,0.0,0.167,0.5,0.0,0.333,0.667,0.0,0,0,0,0,ATH@DET,ATH,DET,2
10,Nick Kurtz,701762,L,701762,CU,17.0,2.0,0.118,0.159,0.19977777777777775,0.461,0.176,85.8125,1.0,8,0.25,0.375,0.5,0.25,0.125,0.5,0.0,1,0,0,1,ATH@DET,ATH,DET,2
12,Nick Kurtz,701762,L,701762,FF,69.0,15.0,0.217,0.159,0.3692857142857142,0.86,0.29000000000000004,90.81463414634146,0.571,41,0.098,0.463,0.22,0.195,0.488,0.341,0.176,7,2,0,6,ATH@DET,ATH,DET,2
14,Nick Kurtz,701762,L,701762,SI,68.0,24.0,0.353,0.146,0.36260563380281685,0.851,0.118,89.60943396226415,0.52,53,0.094,0.472,0.528,0.283,0.189,0.211,0.028,20,2,0,2,ATH@DET,ATH,DET,2
15,Nick Kurtz,701762,L,701762,SL,53.0,12.0,0.226,0.172,0.34175806451612906,0.786,0.227,92.48,0.45,30,0.167,0.4,0.3,0.233,0.433,0.381,0.143,6,3,0,3,ATH@DET,ATH,DET,2
18,Colby Thomas,687515,L,687515,CH,28.0,5.0,0.179,0.271,0.2307096774193548,0.5,0.07100000000000001,84.53999999999999,0.286,20,0.0,0.25,0.5,0.2,0.15,0.281,0.094,3,2,0,0,ATH@DET,ATH,DET,3
19,Colby Thomas,687515,L,687515,CU,11.0,4.0,0.364,0.208,0.5216363636363636,1.273,0.545,102.32000000000001,1.0,5,0.6,0.8,0.2,0.2,0.6,0.545,0.0,2,0,0,2,ATH@DET,ATH,DET,3
21,Colby Thomas,687515,L,687515,FF,50.0,15.0,0.3,0.131,0.4298461538461539,1.035,0.42,93.1078947368421,0.633,38,0.237,0.526,0.105,0.237,0.553,0.259,0.037,6,3,0,6,ATH@DET,ATH,DET,3
23,Colby Thomas,687515,L,687515,SI,13.0,3.0,0.231,0.179,0.29013333333333335,0.641,0.07699999999999999,96.67777777777778,0.333,9,0.0,0.444,0.222,0.333,0.333,0.267,0.133,2,1,0,0,ATH@DET,ATH,DET,3
24,Colby Thomas,687515,L,687515,SL,20.0,4.0,0.2,0.231,0.2512380952380952,0.588,0.14999999999999997,85.78181818181818,0.5,11,0.091,0.364,0.364,0.273,0.273,0.429,0.048,3,0,0,1,ATH@DET,ATH,DET,3
27,Jonah Heim,641680,L,641680,CH,65.0,16.0,0.246,0.126,0.288910447761194,0.68,0.16899999999999998,88.90555555555555,0.6,54,0.111,0.426,0.519,0.241,0.222,0.176,0.029,9,5,0,2,ATH@DET,ATH,DET,4
28,Jonah Heim,641680,L,641680,CU,36.0,10.0,0.278,0.117,0.30252631578947364,0.705,0.11099999999999999,87.35185185185185,0.333,27,0.037,0.333,0.407,0.296,0.259,0.237,0.053,8,1,0,1,ATH@DET,ATH,DET,4
30,Jonah Heim,641680,L,641680,FF,125.0,34.0,0.272,0.123,0.3669718309859155,0.861,0.23199999999999998,89.34950495049505,0.525,101,0.079,0.396,0.297,0.307,0.277,0.175,0.119,20,6,1,7,ATH@DET,ATH,DET,4
32,Jonah Heim,641680,L,641680,SI,48.0,15.0,0.312,0.082,0.38536000000000004,0.916,0.27099999999999996,93.69024390243902,0.526,41,0.146,0.512,0.488,0.22,0.244,0.157,0.039,8,4,0,3,ATH@DET,ATH,DET,4
33,Jonah Heim,641680,L,641680,SL,51.0,8.0,0.157,0.166,0.18219999999999997,0.39,0.01899999999999999,84.48285714285714,0.333,35,0.029,0.343,0.429,0.114,0.314,0.304,0.071,7,1,0,0,ATH@DET,ATH,DET,4
36,Joshua Kuroda-Grauer,811965,L,811965,CH,1.0,1.0,1.0,0.0,0.855,2.0,0.0,91.2,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,ATH@DET,ATH,DET,5
37,Joshua Kuroda-Grauer,811965,L,811965,CU,2.0,1.0,0.5,0.0,0.4275,1.0,0.0,91.2,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,ATH@DET,ATH,DET,5
39,Joshua Kuroda-Grauer,811965,L,811965,FF,5.0,1.0,0.2,0.0,0.17099999999999999,0.4,0.0,84.42,0.333,5,0.0,0.2,0.2,0.4,0.2,0.0,0.0,1,0,0,0,ATH@DET,ATH,DET,5
40,Joshua Kuroda-Grauer,811965,L,811965,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,ATH@DET,ATH,DET,5
41,Joshua Kuroda-Grauer,811965,L,811965,SL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,80.7,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,ATH@DET,ATH,DET,5
43,Lawrence Butler,671732,L,671732,CH,12.0,3.0,0.25,0.235,0.21375,0.5,0.0,87.75,0.0,8,0.0,0.5,0.625,0.125,0.0,0.333,0.0,3,0,0,0,ATH@DET,ATH,DET,6
44,Lawrence Butler,671732,L,671732,CU,5.0,1.0,0.2,0.135,0.2496,0.6,0.2,90.63333333333333,1.0,3,0.0,0.667,0.333,0.333,0.333,0.4,0.0,0,1,0,0,ATH@DET,ATH,DET,6
46,Lawrence Butler,671732,L,671732,FF,78.0,18.0,0.231,0.153,0.3157045454545454,0.728,0.17899999999999996,87.1413043478261,0.273,46,0.065,0.37,0.522,0.261,0.217,0.364,0.114,12,2,0,4,ATH@DET,ATH,DET,6
47,Lawrence Butler,671732,L,671732,SI,82.0,16.0,0.195,0.068,0.21534939759036142,0.51,0.10999999999999999,89.1948275862069,0.667,58,0.017,0.5,0.741,0.155,0.103,0.289,0.012,11,3,0,2,ATH@DET,ATH,DET,6
48,Lawrence Butler,671732,L,671732,SL,52.0,13.0,0.25,0.154,0.28856363636363636,0.676,0.135,87.6236842105263,0.588,38,0.132,0.421,0.474,0.105,0.342,0.255,0.055,9,2,1,1,ATH@DET,ATH,DET,6
51,Henry Bolte,703607,L,703607,CH,10.0,5.0,0.5,0.194,0.5433999999999999,1.3,0.30000000000000004,94.7125,0.5,8,0.125,0.625,0.75,0.125,0.125,0.2,0.0,4,0,0,1,ATH@DET,ATH,DET,7
52,Henry Bolte,703607,L,703607,CU,2.0,0.0,0.0,0.154,0.0,0.0,0.0,99.05,0.0,2,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0,0,0,0,ATH@DET,ATH,DET,7
54,Henry Bolte,703607,L,703607,FF,17.0,5.0,0.294,0.155,0.35936842105263156,0.839,0.177,96.33333333333333,0.8,9,0.333,0.778,0.444,0.333,0.222,0.421,0.105,4,0,0,1,ATH@DET,ATH,DET,7
56,Henry Bolte,703607,L,703607,SI,10.0,0.0,0.0,0.133,0.12116666666666666,0.154,0.0,101.8,0.0,3,0.0,0.667,1.0,0.0,0.0,0.538,0.0,0,0,0,0,ATH@DET,ATH,DET,7
57,Henry Bolte,703607,L,703607,SL,10.0,4.0,0.4,0.167,0.3813,0.9,0.09999999999999998,90.06,0.0,5,0.0,0.4,0.8,0.0,0.2,0.5,0.0,3,1,0,0,ATH@DET,ATH,DET,7
60,Jeff McNeil,643446,L,643446,CH,10.0,3.0,0.3,0.111,0.40041666666666664,0.917,0.2,78.55,0.2,8,0.0,0.125,0.375,0.375,0.25,0.167,0.0,1,2,0,0,ATH@DET,ATH,DET,8
