,Player,HID,p_throws,batter,pitch_type,AB,H,AVG,wOBA,OPS,ISO,EV,Air Hard%,BIP,Brl%,Hard%,LD%,FB%,K%,BB%,Game,Team,Opp
39,Triston Casas,671213,R,671213,FC,51.0,11.0,0.216,0.3062241379310345,0.702,0.17600000000000002,90.3483870967742,0.5,31,0.097,0.387,0.29,0.29,0.345,0.121,TOR@BOS,BOS,TOR
40,Triston Casas,671213,R,671213,FF,199.0,55.0,0.276,0.3843886462882096,0.906,0.262,93.07852348993289,0.596,149,0.161,0.497,0.255,0.342,0.225,0.13,TOR@BOS,BOS,TOR
41,Triston Casas,671213,R,671213,FS,24.0,3.0,0.125,0.18699999999999997,0.389,0.04200000000000001,90.72307692307693,0.5,13,0.154,0.538,0.154,0.154,0.407,0.111,TOR@BOS,BOS,TOR
42,Triston Casas,671213,R,671213,SI,40.0,13.0,0.325,0.41044444444444445,0.975,0.24999999999999994,90.7875,0.643,32,0.125,0.406,0.281,0.156,0.178,0.111,TOR@BOS,BOS,TOR
43,Triston Casas,671213,R,671213,SL,61.0,16.0,0.262,0.36904347826086953,0.873,0.263,90.67500000000001,0.565,36,0.139,0.472,0.25,0.389,0.362,0.116,TOR@BOS,BOS,TOR
44,Triston Casas,671213,R,671213,ST,13.0,0.0,0.0,0.1325625,0.188,0.0,84.5,0.75,6,0.0,0.5,0.0,0.667,0.438,0.125,TOR@BOS,BOS,TOR
46,Trevor Story,596115,R,596115,CH,10.0,1.0,0.1,0.1248,0.3,0.1,75.86666666666667,1.0,3,0.333,0.333,0.333,0.0,0.7,0.0,TOR@BOS,BOS,TOR
47,Trevor Story,596115,R,596115,CU,17.0,2.0,0.118,0.13372222222222221,0.285,0.0,79.96666666666667,0.5,9,0.0,0.111,0.111,0.111,0.444,0.056,TOR@BOS,BOS,TOR
48,Trevor Story,596115,R,596115,FC,14.0,5.0,0.357,0.4513125,1.08,0.28600000000000003,89.39999999999999,0.571,11,0.091,0.364,0.273,0.364,0.188,0.125,TOR@BOS,BOS,TOR
49,Trevor Story,596115,R,596115,FF,80.0,21.0,0.262,0.31168965517241376,0.722,0.138,91.27735849056603,0.615,53,0.113,0.472,0.208,0.283,0.31,0.08,TOR@BOS,BOS,TOR
50,Trevor Story,596115,R,596115,FS,10.0,2.0,0.2,0.29141666666666666,0.633,0.09999999999999998,79.4625,0.333,8,0.0,0.375,0.25,0.125,0.167,0.167,TOR@BOS,BOS,TOR
51,Trevor Story,596115,R,596115,SI,37.0,10.0,0.27,0.31615,0.73,0.135,85.52962962962964,0.8,27,0.037,0.407,0.259,0.111,0.25,0.025,TOR@BOS,BOS,TOR
52,Trevor Story,596115,R,596115,SL,46.0,5.0,0.109,0.15397959183673468,0.337,0.06499999999999999,86.10967741935484,0.353,31,0.097,0.29,0.194,0.355,0.306,0.061,TOR@BOS,BOS,TOR
53,Trevor Story,596115,R,596115,ST,19.0,8.0,0.421,0.5124000000000001,1.239,0.36800000000000005,86.83333333333333,0.455,15,0.133,0.333,0.4,0.333,0.2,0.05,TOR@BOS,BOS,TOR
55,Kristian Campbell,692225,R,692225,CH,1.0,0.0,0.0,0.0,0.0,0.0,88.8,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,TOR@BOS,BOS,TOR
56,Kristian Campbell,692225,R,692225,CU,2.0,1.0,0.5,1.007,2.5,1.5,104.1,1.0,1,1.0,1.0,1.0,0.0,0.5,0.0,TOR@BOS,BOS,TOR
57,Kristian Campbell,692225,R,692225,FC,1.0,1.0,1.0,0.9724999999999999,3.0,1.0,108.2,1.0,1,0.0,1.0,1.0,0.0,0.0,0.5,TOR@BOS,BOS,TOR
58,Kristian Campbell,692225,R,692225,FF,12.0,7.0,0.583,0.6333846153846154,1.532,0.3340000000000001,96.15,1.0,8,0.125,0.625,0.375,0.0,0.308,0.077,TOR@BOS,BOS,TOR
59,Kristian Campbell,692225,R,692225,FS,2.0,0.0,0.0,0.0,0.0,0.0,47.3,0.0,1,0.0,0.0,0.0,0.0,0.5,0.0,TOR@BOS,BOS,TOR
60,Kristian Campbell,692225,R,692225,SI,9.0,3.0,0.333,0.4048,0.956,0.22300000000000003,82.47142857142856,0.667,7,0.0,0.429,0.429,0.0,0.2,0.1,TOR@BOS,BOS,TOR
61,Kristian Campbell,692225,R,692225,SL,8.0,2.0,0.25,0.26744444444444443,0.583,0.0,89.51666666666667,0.333,6,0.0,0.333,0.167,0.333,0.222,0.111,TOR@BOS,BOS,TOR
62,Kristian Campbell,692225,R,692225,ST,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,TOR@BOS,BOS,TOR
63,Wilyer Abreu,677800,R,677800,CH,67.0,23.0,0.343,0.3710428571428571,0.878,0.16399999999999998,85.64150943396227,0.292,53,0.057,0.283,0.226,0.226,0.2,0.043,TOR@BOS,BOS,TOR
64,Wilyer Abreu,677800,R,677800,CU,40.0,7.0,0.175,0.21335714285714286,0.48,0.10000000000000003,93.89259259259259,0.5,27,0.074,0.519,0.222,0.37,0.341,0.023,TOR@BOS,BOS,TOR
66,Wilyer Abreu,677800,R,677800,FC,36.0,9.0,0.25,0.3317368421052631,0.789,0.25,93.57857142857142,0.611,28,0.107,0.571,0.179,0.464,0.211,0.053,TOR@BOS,BOS,TOR
67,Wilyer Abreu,677800,R,677800,FF,146.0,38.0,0.26,0.37341279069767447,0.868,0.24,92.08444444444444,0.696,90,0.144,0.578,0.189,0.433,0.333,0.149,TOR@BOS,BOS,TOR
68,Wilyer Abreu,677800,R,677800,FS,33.0,7.0,0.212,0.2543235294117647,0.593,0.152,86.35217391304347,0.6,23,0.087,0.522,0.174,0.261,0.314,0.029,TOR@BOS,BOS,TOR
71,Wilyer Abreu,677800,R,677800,SI,48.0,23.0,0.479,0.5893035714285714,1.45,0.41700000000000004,95.92820512820512,0.63,39,0.179,0.59,0.385,0.308,0.161,0.143,TOR@BOS,BOS,TOR
72,Wilyer Abreu,677800,R,677800,SL,44.0,10.0,0.227,0.3169795918367347,0.738,0.205,94.77,0.579,30,0.2,0.567,0.333,0.3,0.286,0.102,TOR@BOS,BOS,TOR
73,Wilyer Abreu,677800,R,677800,ST,14.0,4.0,0.286,0.4327777777777777,1.015,0.285,87.95714285714287,0.556,14,0.143,0.357,0.214,0.429,0.0,0.167,TOR@BOS,BOS,TOR
75,Ceddanne Rafaela,678882,R,678882,CH,22.0,4.0,0.182,0.24778260869565216,0.581,0.182,79.28333333333333,0.4,12,0.083,0.333,0.333,0.083,0.435,0.0,TOR@BOS,BOS,TOR
76,Ceddanne Rafaela,678882,R,678882,CU,37.0,7.0,0.189,0.18300000000000002,0.422,0.05399999999999999,81.60416666666667,0.294,24,0.0,0.292,0.5,0.208,0.385,0.0,TOR@BOS,BOS,TOR
78,Ceddanne Rafaela,678882,R,678882,FC,33.0,7.0,0.212,0.2895135135135135,0.661,0.152,87.89999999999999,0.688,28,0.143,0.429,0.179,0.393,0.135,0.054,TOR@BOS,BOS,TOR
79,Ceddanne Rafaela,678882,R,678882,FF,121.0,30.0,0.248,0.32876744186046514,0.78,0.24,91.23246753246752,0.646,77,0.156,0.519,0.234,0.39,0.346,0.046,TOR@BOS,BOS,TOR
80,Ceddanne Rafaela,678882,R,678882,FS,12.0,4.0,0.333,0.31775,0.75,0.08399999999999996,78.2,0.25,8,0.0,0.125,0.125,0.375,0.333,0.0,TOR@BOS,BOS,TOR
84,Ceddanne Rafaela,678882,R,678882,SI,88.0,24.0,0.273,0.2660769230769231,0.611,0.044999999999999984,81.47532467532469,0.48,77,0.026,0.364,0.247,0.078,0.13,0.022,TOR@BOS,BOS,TOR
85,Ceddanne Rafaela,678882,R,678882,SL,115.0,37.0,0.322,0.3189059829059829,0.75,0.09499999999999997,86.95714285714286,0.375,98,0.031,0.306,0.184,0.306,0.145,0.017,TOR@BOS,BOS,TOR
86,Ceddanne Rafaela,678882,R,678882,ST,54.0,11.0,0.204,0.2401090909090909,0.566,0.148,78.49545454545455,0.227,44,0.023,0.114,0.25,0.25,0.196,0.018,TOR@BOS,BOS,TOR
88,Carlos Narvaez,665966,R,665966,CH,1.0,1.0,1.0,1.248,3.0,1.0,109.2,1.0,1,0.0,1.0,1.0,0.0,0.0,0.0,TOR@BOS,BOS,TOR
89,Carlos Narvaez,665966,R,665966,CU,5.0,1.0,0.2,0.2496,0.6,0.2,91.8,0.0,4,0.0,0.25,0.0,0.5,0.2,0.0,TOR@BOS,BOS,TOR
91,Carlos Narvaez,665966,R,665966,FC,1.0,0.0,0.0,0.4646666666666666,0.667,0.0,76.1,0.0,1,0.0,0.0,0.0,1.0,0.0,0.667,TOR@BOS,BOS,TOR
92,Carlos Narvaez,665966,R,665966,FF,9.0,2.0,0.222,0.2821818181818182,0.586,0.0,96.1,0.5,4,0.0,0.75,0.25,0.25,0.455,0.182,TOR@BOS,BOS,TOR
93,Carlos Narvaez,665966,R,665966,FS,1.0,0.0,0.0,0.0,0.0,0.0,73.4,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,TOR@BOS,BOS,TOR
94,Carlos Narvaez,665966,R,665966,SI,5.0,2.0,0.4,0.4666666666666666,1.1,0.19999999999999996,91.74,1.0,5,0.2,0.4,0.2,0.2,0.0,0.167,TOR@BOS,BOS,TOR
95,Carlos Narvaez,665966,R,665966,SL,1.0,0.0,0.0,0.0,0.0,0.0,98.5,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,TOR@BOS,BOS,TOR
96,Carlos Narvaez,665966,R,665966,ST,1.0,1.0,1.0,0.855,2.0,0.0,84.8,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,TOR@BOS,BOS,TOR
2,Kyle Schwarber,656941,R,656941,CU,70.0,15.0,0.214,0.39883132530120474,0.966,0.41500000000000004,93.9578947368421,0.643,38,0.263,0.579,0.237,0.5,0.386,0.157,PHI@ATL,PHI,ATL
4,Kyle Schwarber,656941,R,656941,FC,75.0,16.0,0.213,0.33880232558139534,0.787,0.267,92.53709677419356,0.576,62,0.161,0.5,0.129,0.403,0.17,0.114,PHI@ATL,PHI,ATL
5,Kyle Schwarber,656941,R,656941,FF,252.0,53.0,0.21,0.3613508196721311,0.839,0.28600000000000003,95.57790055248618,0.658,181,0.188,0.58,0.199,0.414,0.243,0.165,PHI@ATL,PHI,ATL
7,Kyle Schwarber,656941,R,656941,FS,37.0,5.0,0.135,0.24466666666666662,0.505,0.08099999999999999,84.79523809523809,0.222,21,0.095,0.286,0.286,0.143,0.356,0.178,PHI@ATL,PHI,ATL
10,Kyle Schwarber,656941,R,656941,SI,91.0,28.0,0.308,0.47150434782608697,1.14,0.38399999999999995,95.24714285714286,0.65,70,0.171,0.557,0.286,0.286,0.19,0.207,PHI@ATL,PHI,ATL
11,Kyle Schwarber,656941,R,656941,SL,111.0,18.0,0.162,0.29528358208955224,0.652,0.18899999999999997,92.52586206896552,0.667,58,0.155,0.552,0.19,0.328,0.404,0.154,PHI@ATL,PHI,ATL
15,Trea Turner,607208,R,607208,CU,67.0,17.0,0.254,0.3203194444444445,0.754,0.194,86.81702127659575,0.524,47,0.064,0.362,0.298,0.149,0.278,0.042,PHI@ATL,PHI,ATL
17,Trea Turner,607208,R,607208,FC,59.0,19.0,0.322,0.376015873015873,0.89,0.203,85.12884615384615,0.385,52,0.077,0.308,0.192,0.308,0.111,0.063,PHI@ATL,PHI,ATL
18,Trea Turner,607208,R,607208,FF,223.0,57.0,0.256,0.3283061224489796,0.766,0.188,93.08609625668448,0.557,187,0.118,0.524,0.23,0.422,0.147,0.082,PHI@ATL,PHI,ATL
20,Trea Turner,607208,R,607208,FS,19.0,3.0,0.158,0.18995238095238096,0.396,0.0,89.0,0.0,10,0.0,0.4,0.0,0.1,0.429,0.048,PHI@ATL,PHI,ATL
23,Trea Turner,607208,R,607208,SI,147.0,52.0,0.354,0.38785806451612903,0.918,0.17700000000000005,91.46589147286822,0.574,129,0.054,0.488,0.233,0.132,0.116,0.045,PHI@ATL,PHI,ATL
24,Trea Turner,607208,R,607208,SL,200.0,63.0,0.315,0.36097142857142855,0.858,0.195,86.94897959183673,0.493,147,0.041,0.381,0.259,0.224,0.252,0.048,PHI@ATL,PHI,ATL
28,Bryce Harper,547180,R,547180,CU,96.0,26.0,0.271,0.35895454545454547,0.829,0.19799999999999995,87.97323943661972,0.632,71,0.085,0.408,0.296,0.239,0.234,0.099,PHI@ATL,PHI,ATL
30,Bryce Harper,547180,R,547180,FC,43.0,16.0,0.372,0.4874799999999999,1.181,0.349,93.58378378378379,0.737,37,0.216,0.622,0.243,0.27,0.12,0.14,PHI@ATL,PHI,ATL
31,Bryce Harper,547180,R,547180,FF,184.0,55.0,0.299,0.3982398190045249,0.925,0.21200000000000002,93.78432835820895,0.552,134,0.142,0.537,0.328,0.321,0.23,0.162,PHI@ATL,PHI,ATL
33,Bryce Harper,547180,R,547180,FS,47.0,13.0,0.277,0.33467346938775505,0.789,0.21199999999999997,92.22682926829269,0.714,41,0.049,0.488,0.244,0.098,0.14,0.04,PHI@ATL,PHI,ATL
36,Bryce Harper,547180,R,547180,SI,57.0,18.0,0.316,0.4560972222222222,1.09,0.316,93.41521739130435,0.593,46,0.13,0.522,0.326,0.261,0.153,0.208,PHI@ATL,PHI,ATL
37,Bryce Harper,547180,R,547180,SL,102.0,21.0,0.206,0.27824107142857146,0.64,0.157,90.29692307692308,0.697,65,0.123,0.508,0.231,0.277,0.33,0.08,PHI@ATL,PHI,ATL
41,Alec Bohm,664761,R,664761,CU,43.0,12.0,0.279,0.33565306122448985,0.755,0.11599999999999999,92.6842105263158,0.476,38,0.053,0.474,0.342,0.211,0.12,0.08,PHI@ATL,PHI,ATL
43,Alec Bohm,664761,R,664761,FC,55.0,12.0,0.218,0.2686393442622951,0.595,0.091,87.37083333333334,0.259,48,0.083,0.292,0.229,0.333,0.143,0.095,PHI@ATL,PHI,ATL
44,Alec Bohm,664761,R,664761,FF,227.0,57.0,0.251,0.30900787401574803,0.705,0.123,92.29378531073446,0.556,177,0.056,0.514,0.294,0.266,0.197,0.102,PHI@ATL,PHI,ATL
46,Alec Bohm,664761,R,664761,FS,15.0,3.0,0.2,0.22843750000000002,0.517,0.067,92.92307692307692,0.4,13,0.0,0.462,0.385,0.0,0.125,0.062,PHI@ATL,PHI,ATL
49,Alec Bohm,664761,R,664761,SI,204.0,55.0,0.27,0.30715000000000003,0.705,0.11699999999999999,89.12122905027934,0.531,179,0.05,0.475,0.313,0.14,0.126,0.058,PHI@ATL,PHI,ATL
50,Alec Bohm,664761,R,664761,SL,186.0,51.0,0.274,0.30987113402061855,0.726,0.15099999999999997,88.22547770700636,0.386,157,0.032,0.338,0.229,0.217,0.158,0.036,PHI@ATL,PHI,ATL
54,Max Kepler,596146,R,596146,CU,76.0,17.0,0.224,0.2888395061728395,0.68,0.18399999999999997,89.89999999999999,0.419,53,0.113,0.396,0.226,0.358,0.284,0.062,PHI@ATL,PHI,ATL
55,Max Kepler,596146,R,596146,FC,58.0,17.0,0.293,0.41740322580645156,1.0,0.37900000000000006,89.50980392156863,0.361,51,0.157,0.373,0.235,0.471,0.141,0.047,PHI@ATL,PHI,ATL
56,Max Kepler,596146,R,596146,FF,199.0,57.0,0.286,0.3767619047619048,0.872,0.20600000000000002,94.18988095238095,0.598,168,0.137,0.536,0.286,0.411,0.141,0.128,PHI@ATL,PHI,ATL
58,Max Kepler,596146,R,596146,FS,30.0,6.0,0.2,0.23072727272727273,0.506,0.033,82.39545454545454,0.667,22,0.0,0.318,0.182,0.091,0.242,0.091,PHI@ATL,PHI,ATL
60,Max Kepler,596146,R,596146,SI,69.0,17.0,0.246,0.29094666666666663,0.669,0.11599999999999999,92.76785714285714,0.478,56,0.054,0.518,0.232,0.179,0.173,0.08,PHI@ATL,PHI,ATL
61,Max Kepler,596146,R,596146,SL,87.0,21.0,0.241,0.31718749999999996,0.734,0.184,88.36166666666666,0.519,60,0.083,0.467,0.15,0.3,0.289,0.072,PHI@ATL,PHI,ATL
65,Nick Castellanos,592206,R,592206,CU,73.0,8.0,0.11,0.1384864864864865,0.327,0.09499999999999999,81.88867924528303,0.333,53,0.038,0.208,0.151,0.302,0.27,0.014,PHI@ATL,PHI,ATL
66,Nick Castellanos,592206,R,592206,FC,58.0,7.0,0.121,0.16653225806451613,0.367,0.069,85.90204081632653,0.407,49,0.061,0.286,0.224,0.327,0.145,0.065,PHI@ATL,PHI,ATL
67,Nick Castellanos,592206,R,592206,FF,200.0,63.0,0.315,0.3885990990990991,0.914,0.22000000000000003,93.075,0.574,152,0.112,0.533,0.375,0.289,0.223,0.085,PHI@ATL,PHI,ATL
69,Nick Castellanos,592206,R,592206,FS,29.0,5.0,0.172,0.24366666666666661,0.573,0.20700000000000002,91.37142857142858,0.556,14,0.214,0.5,0.214,0.429,0.516,0.032,PHI@ATL,PHI,ATL
71,Nick Castellanos,592206,R,592206,SI,162.0,57.0,0.352,0.4023715846994535,0.938,0.16000000000000003,91.91739130434783,0.639,138,0.101,0.572,0.246,0.196,0.131,0.077,PHI@ATL,PHI,ATL
72,Nick Castellanos,592206,R,592206,SL,259.0,62.0,0.239,0.2905518518518519,0.686,0.178,85.3096256684492,0.366,187,0.059,0.289,0.246,0.294,0.269,0.041,PHI@ATL,PHI,ATL
76,J.T. Realmuto,592663,R,592663,CU,34.0,9.0,0.265,0.3599722222222222,0.865,0.29400000000000004,88.04347826086956,0.556,23,0.174,0.435,0.087,0.304,0.306,0.056,PHI@ATL,PHI,ATL
77,J.T. Realmuto,592663,R,592663,FC,42.0,11.0,0.262,0.35659574468085103,0.84,0.238,89.93142857142857,0.609,35,0.114,0.457,0.257,0.4,0.149,0.106,PHI@ATL,PHI,ATL
78,J.T. Realmuto,592663,R,592663,FF,176.0,49.0,0.278,0.3291058201058201,0.769,0.16499999999999998,92.9376,0.658,125,0.096,0.568,0.368,0.216,0.274,0.058,PHI@ATL,PHI,ATL
80,J.T. Realmuto,592663,R,592663,FS,19.0,1.0,0.053,0.17808695652173914,0.322,0.052,84.12,1.0,5,0.0,0.4,0.0,0.2,0.609,0.087,PHI@ATL,PHI,ATL
83,J.T. Realmuto,592663,R,592663,SI,157.0,47.0,0.299,0.3660459770114942,0.854,0.191,88.33857142857143,0.559,140,0.079,0.407,0.207,0.214,0.102,0.074,PHI@ATL,PHI,ATL
84,J.T. Realmuto,592663,R,592663,SL,134.0,28.0,0.209,0.2551736111111111,0.581,0.11200000000000002,86.04270833333334,0.521,96,0.094,0.312,0.219,0.281,0.274,0.068,PHI@ATL,PHI,ATL
89,Bryson Stott,681082,R,681082,CU,87.0,20.0,0.23,0.2876774193548387,0.671,0.161,87.38688524590165,0.273,61,0.049,0.295,0.197,0.164,0.28,0.054,PHI@ATL,PHI,ATL
91,Bryson Stott,681082,R,681082,FC,83.0,19.0,0.229,0.2441123595505618,0.543,0.036000000000000004,88.7865671641791,0.459,67,0.015,0.433,0.269,0.284,0.189,0.022,PHI@ATL,PHI,ATL
92,Bryson Stott,681082,R,681082,FF,267.0,73.0,0.273,0.33920538720538723,0.779,0.16899999999999998,90.08749999999999,0.454,224,0.054,0.384,0.281,0.299,0.17,0.098,PHI@ATL,PHI,ATL
94,Bryson Stott,681082,R,681082,FS,44.0,9.0,0.205,0.18648888888888887,0.427,0.0,81.48857142857143,0.2,35,0.029,0.229,0.171,0.114,0.2,0.022,PHI@ATL,PHI,ATL
96,Bryson Stott,681082,R,681082,SI,101.0,32.0,0.317,0.40121238938053094,0.947,0.24699999999999994,89.4680412371134,0.415,97,0.041,0.433,0.268,0.278,0.052,0.104,PHI@ATL,PHI,ATL
97,Bryson Stott,681082,R,681082,SL,91.0,28.0,0.308,0.37812371134020617,0.896,0.24100000000000005,87.99506172839507,0.413,81,0.074,0.333,0.235,0.333,0.112,0.051,PHI@ATL,PHI,ATL
101,Brandon Marsh,669016,R,669016,CU,75.0,17.0,0.227,0.2782151898734177,0.653,0.16,87.85909090909091,0.714,44,0.114,0.432,0.205,0.273,0.392,0.051,PHI@ATL,PHI,ATL
103,Brandon Marsh,669016,R,669016,FC,55.0,20.0,0.364,0.47273437500000004,1.144,0.32699999999999996,91.06,0.583,45,0.111,0.467,0.267,0.267,0.156,0.141,PHI@ATL,PHI,ATL
104,Brandon Marsh,669016,R,669016,FF,226.0,64.0,0.283,0.37667045454545456,0.874,0.20800000000000002,93.46344827586208,0.655,145,0.11,0.566,0.276,0.303,0.312,0.139,PHI@ATL,PHI,ATL
106,Brandon Marsh,669016,R,669016,FS,32.0,6.0,0.188,0.20039393939393937,0.462,0.062,89.61578947368422,0.571,19,0.0,0.421,0.263,0.105,0.394,0.03,PHI@ATL,PHI,ATL
109,Brandon Marsh,669016,R,669016,SI,71.0,21.0,0.296,0.32720731707317074,0.724,0.04200000000000004,93.26666666666667,0.469,60,0.033,0.55,0.317,0.217,0.145,0.12,PHI@ATL,PHI,ATL
110,Brandon Marsh,669016,R,669016,SL,88.0,16.0,0.182,0.31618269230769225,0.719,0.238,93.02173913043478,0.656,46,0.174,0.543,0.217,0.478,0.421,0.14,PHI@ATL,PHI,ATL
0,Michael Harris II,671739,L,671739,CH,18.0,2.0,0.111,0.095,0.222,0.0,86.10000000000001,0.0,6,0.0,0.0,0.167,0.333,0.667,0.0,PHI@ATL,ATL,PHI
1,Michael Harris II,671739,L,671739,CU,25.0,5.0,0.2,0.2551111111111111,0.57,0.12,88.4590909090909,0.714,22,0.045,0.5,0.227,0.091,0.143,0.0,PHI@ATL,ATL,PHI
3,Michael Harris II,671739,L,671739,FC,14.0,4.0,0.286,0.4098571428571428,1.0,0.428,82.83846153846154,0.75,13,0.077,0.385,0.077,0.231,0.071,0.0,PHI@ATL,ATL,PHI
4,Michael Harris II,671739,L,671739,FF,76.0,28.0,0.368,0.4322048192771084,1.027,0.237,92.18333333333334,0.514,66,0.106,0.5,0.318,0.212,0.12,0.06,PHI@ATL,ATL,PHI
6,Michael Harris II,671739,L,671739,SI,58.0,16.0,0.276,0.2582833333333333,0.588,0.01699999999999996,84.25892857142857,0.4,56,0.0,0.411,0.196,0.071,0.049,0.016,PHI@ATL,ATL,PHI
7,Michael Harris II,671739,L,671739,SL,69.0,21.0,0.304,0.36128985507246375,0.869,0.26099999999999995,92.92083333333333,0.655,48,0.208,0.542,0.375,0.229,0.304,0.0,PHI@ATL,ATL,PHI
8,Michael Harris II,671739,L,671739,ST,19.0,5.0,0.263,0.32619999999999993,0.774,0.21099999999999997,88.78999999999999,0.571,10,0.2,0.4,0.3,0.4,0.45,0.05,PHI@ATL,ATL,PHI
10,Austin Riley,663586,L,663586,CH,44.0,14.0,0.318,0.4449791666666667,1.08,0.38699999999999996,92.52727272727273,0.55,33,0.121,0.485,0.242,0.364,0.229,0.083,PHI@ATL,ATL,PHI
11,Austin Riley,663586,L,663586,CU,16.0,7.0,0.438,0.4961666666666667,1.162,0.24999999999999994,93.64666666666668,0.545,15,0.067,0.533,0.333,0.4,0.105,0.105,PHI@ATL,ATL,PHI
12,Austin Riley,663586,L,663586,FC,9.0,3.0,0.333,0.4814,1.178,0.445,87.95,0.5,8,0.125,0.375,0.125,0.375,0.1,0.1,PHI@ATL,ATL,PHI
13,Austin Riley,663586,L,663586,FF,92.0,22.0,0.239,0.3327864077669903,0.771,0.21800000000000003,92.62857142857142,0.696,77,0.169,0.558,0.156,0.442,0.162,0.086,PHI@ATL,ATL,PHI
15,Austin Riley,663586,L,663586,SI,37.0,11.0,0.297,0.3862499999999999,0.886,0.189,96.63666666666667,0.714,30,0.133,0.633,0.267,0.2,0.178,0.156,PHI@ATL,ATL,PHI
16,Austin Riley,663586,L,663586,SL,35.0,4.0,0.114,0.19897435897435897,0.434,0.115,91.09285714285714,0.625,14,0.214,0.357,0.214,0.357,0.538,0.103,PHI@ATL,ATL,PHI
17,Austin Riley,663586,L,663586,ST,4.0,2.0,0.5,0.7132,1.85,0.75,101.5,0.667,3,0.667,0.667,0.667,0.333,0.2,0.2,PHI@ATL,ATL,PHI
19,Matt Olson,621566,L,621566,CH,22.0,3.0,0.136,0.21325000000000002,0.473,0.137,87.83333333333333,0.286,15,0.133,0.267,0.267,0.2,0.32,0.08,PHI@ATL,ATL,PHI
20,Matt Olson,621566,L,621566,CU,20.0,3.0,0.15,0.2528260869565217,0.561,0.15,95.63846153846154,0.571,13,0.154,0.615,0.077,0.462,0.304,0.13,PHI@ATL,ATL,PHI
22,Matt Olson,621566,L,621566,FC,14.0,2.0,0.143,0.12214285714285714,0.286,0.0,91.66,0.333,5,0.0,0.4,0.2,0.4,0.643,0.0,PHI@ATL,ATL,PHI
23,Matt Olson,621566,L,621566,FF,106.0,35.0,0.33,0.4378253968253968,1.041,0.27399999999999997,95.1972972972973,0.651,74,0.162,0.581,0.243,0.338,0.254,0.135,PHI@ATL,ATL,PHI
25,Matt Olson,621566,L,621566,SI,82.0,20.0,0.244,0.32573563218390805,0.766,0.244,91.46666666666667,0.5,66,0.076,0.515,0.227,0.258,0.211,0.033,PHI@ATL,ATL,PHI
26,Matt Olson,621566,L,621566,SL,73.0,20.0,0.274,0.3707466666666666,0.896,0.32899999999999996,86.89636363636365,0.364,55,0.164,0.273,0.236,0.364,0.24,0.027,PHI@ATL,ATL,PHI
27,Matt Olson,621566,L,621566,ST,17.0,5.0,0.294,0.3658823529411764,0.866,0.294,88.46428571428571,0.429,14,0.0,0.357,0.214,0.286,0.222,0.0,PHI@ATL,ATL,PHI
29,Marcell Ozuna,542303,L,542303,CH,51.0,14.0,0.275,0.37112068965517236,0.872,0.235,90.82,0.588,35,0.143,0.429,0.257,0.229,0.276,0.121,PHI@ATL,ATL,PHI
30,Marcell Ozuna,542303,L,542303,CU,33.0,10.0,0.303,0.42779999999999996,1.04,0.39399999999999996,91.57142857142857,0.538,21,0.19,0.381,0.238,0.381,0.343,0.057,PHI@ATL,ATL,PHI
32,Marcell Ozuna,542303,L,542303,FC,14.0,3.0,0.214,0.32011764705882356,0.71,0.143,86.8875,0.6,8,0.125,0.5,0.25,0.375,0.353,0.176,PHI@ATL,ATL,PHI
33,Marcell Ozuna,542303,L,542303,FF,92.0,28.0,0.304,0.37579439252336444,0.865,0.16300000000000003,93.09041095890412,0.622,73,0.11,0.562,0.288,0.329,0.176,0.139,PHI@ATL,ATL,PHI
35,Marcell Ozuna,542303,L,542303,SI,41.0,16.0,0.39,0.4884081632653061,1.173,0.29300000000000004,93.81666666666666,0.65,36,0.083,0.472,0.333,0.222,0.102,0.163,PHI@ATL,ATL,PHI
36,Marcell Ozuna,542303,L,542303,SL,33.0,7.0,0.212,0.36402777777777773,0.884,0.394,94.535,0.615,20,0.25,0.5,0.15,0.5,0.361,0.083,PHI@ATL,ATL,PHI
37,Marcell Ozuna,542303,L,542303,ST,8.0,3.0,0.375,0.46549999999999997,1.125,0.375,65.71666666666667,0.667,6,0.167,0.333,0.0,0.5,0.25,0.0,PHI@ATL,ATL,PHI
39,Ozzie Albies,645277,L,645277,CH,37.0,14.0,0.378,0.40997500000000003,0.966,0.16300000000000003,82.88387096774194,0.154,31,0.032,0.161,0.226,0.194,0.15,0.075,PHI@ATL,ATL,PHI
40,Ozzie Albies,645277,L,645277,CU,26.0,9.0,0.346,0.3858846153846154,0.923,0.23099999999999998,84.75454545454545,0.5,22,0.045,0.409,0.318,0.136,0.154,0.0,PHI@ATL,ATL,PHI
41,Ozzie Albies,645277,L,645277,FC,20.0,9.0,0.45,0.48199999999999993,1.15,0.24999999999999994,90.23529411764706,0.455,17,0.176,0.353,0.471,0.176,0.15,0.0,PHI@ATL,ATL,PHI
